	AD_AD-ATAC_mean_coverage_GCcorr	AD_AD-ATAC_central_coverage_GCcorr	AD_AD-ATAC_amplitude_GCcorr	NE_NE-ATAC_mean_coverage_GCcorr	NE_NE-ATAC_central_coverage_GCcorr	NE_NE-ATAC_amplitude_GCcorr
136_rep2_LuCaP	0.90726	0.69258	0.56386	0.98442	0.96043	0.1434
145_1_LuCaP	0.96009	0.87235	0.2122	0.93615	0.85049	0.14746
145_2_LuCaP	0.96591	0.8682	0.03303	0.94719	0.85761	0.05325
173_1_rep2_LuCaP	0.97224	0.93226	0.27324	0.93892	0.88505	0.06715
174_1_LuCaP	0.95091	0.85465	1.73501	0.99845	1.03923	0.13514
176CR_rep2_LuCaP	0.91709	0.82791	0.27088	0.98113	1.00867	0.3254
176_LuCaP	0.91225	0.80514	0.26101	0.98702	1.0114	0.28258
189_3_LuCaP	0.91751	0.72941	0.22855	1.00824	1.04567	0.45946
189_4_rep2_LuCaP	0.85823	0.66866	0.3323	1.0027	1.01738	0.55388
208_4_LuCaP	0.97386	0.94755	0.48538	0.94308	0.90111	0.27666
235_3_LuCaP	0.89746	0.70919	0.6999	0.98263	0.97946	0.26294
35CR_LuCaP	0.88329	0.5953	0.9023	0.97924	0.93136	0.49479
35_LuCaP	0.87065	0.58961	1.21361	0.98466	0.95373	0.49802
49_LuCaP	0.97758	0.9184	0.55285	0.9529	0.87474	0.6247
58_LuCaP	0.88488	0.77754	0.94279	0.99172	1.00307	0.54302
70CR_rep2_LuCaP	0.90418	0.73675	0.24833	0.99271	1.00238	0.0083
170_2_LuCaP	0.84759	0.63141	0.66521	0.98902	0.98051	0.49496
70_LuCaP	0.89952	0.69279	0.52073	0.99661	0.99475	0.27709
78_rep2_LuCaP	0.8829	0.69713	0.72667	0.99856	1.01828	0.43045
81_LuCaP	0.88718	0.6752	0.14783	1.00556	1.03229	0.36324
92_LuCaP	0.8927	0.76236	0.55062	0.99242	0.98725	0.3523
93_LuCaP	0.97509	0.9096	0.1979	0.93549	0.81677	0.64364
96_rep2_LuCaP	0.86353	0.69036	1.44504	0.99827	1.01914	0.46876
